Sistemas ->;Visual;Somatosensorial;Motor;Paladar;Auditivo;Memória;Cognição;Linguagem;Límbico;Olfato;Vestibular
Área cortical;;;;;;;;;;;
A1;0;10;0;0;0;0;0;0;0;0;0
A2;0;7;0;0;0;0;0;0;0;0;0
A3;0;5;0;0;0;0;0;0;0;0;0
A4;0;0;5;0;0;0;0;0;0;0;0
A5;0;3;0;0;0;0;0;0;0;0;0
A6;0;0;1;0;0;0;1;0;0;0;0
A7;0;1;0;0;0;0;0;0;0;0;0
A8;1;0;1;0;0;0;0;0;0;0;0
A9;0;0;0;0;0;2;5;1;0;0;0
A10;0;0;0;0;0;0;5;0;0;0;0
A11 & A12;1;0;0;1;0;0;3;2;2;0;0
A13;0;1;1;0;0;0;1;0;0;0;0
A17;10;0;0;0;0;0;0;0;0;0;0
A18;7;0;0;0;0;0;0;0;0;0;0
A19;5;0;0;0;0;1;0;0;0;0;0
A20;1;0;0;0;0;1;0;0;0;0;0
A21;1;0;0;0;1;0;1;1;0;0;0
A22;1;0;0;0;1;1;1;1;0;0;0
A23;0;0;0;0;0;2;0;0;2;0;0
A24;0;0;0;0;0;0;2;0;3;0;0
A25;0;0;0;0;0;0;0;0;10;0;0
A26;0;0;1;0;0;3;0;0;0;0;0
A27;0;0;0;0;0;0;0;0;0;1;0
A28;0;0;0;0;0;1;0;0;0;1;0
A29;0;0;0;0;0;1;0;0;0;0;0
A30;0;1;1;0;0;0;0;0;1;0;0
A31;0;0;0;0;0;0;1;0;0;0;0
A32;1;0;0;0;0;0;0;1;0;0;0
A33;0;1;0;0;0;0;0;0;1;0;1
A34;1;0;0;0;0;2;0;0;0;1;0
A35;1;0;0;0;0;1;0;0;0;2;0
A36;0;0;0;0;0;1;0;0;0;0;1
A37;1;0;0;0;0;0;1;1;0;0;0
A38;0;0;0;0;0;1;0;0;1;0;0
A39;0;0;0;0;0;0;1;5;0;0;0
A40;0;0;0;0;0;0;1;1;1;0;0
A41;0;0;0;0;4;0;0;0;0;0;0
A42;0;0;0;0;3;0;0;0;0;0;0
A43;0;0;0;5;0;0;0;0;0;0;0
A44;0;0;1;0;0;0;5;5;0;0;0
A45;0;0;1;0;0;0;2;2;0;0;0
A46;0;0;0;0;0;3;2;0;0;0;0
A47;0;0;0;0;0;0;2;4;0;0;0
